data,ticker,peso,dinheiro_por_acao,preco_compra,quantidade_acoes,preco_fechamento_ajustado
2013-06-14,RDNI3,0.5,9553.75834893553,11.75,807.5873498677539,11.83
2013-06-17,KEPL3,0.5,9174.941050981006,1.51,6284.206199302059,1.46
2013-06-17,RDNI3,0.5,9618.36533692495,11.75,807.5873498677539,11.91
2013-06-18,KEPL3,0.5,9300.625174967046,1.51,6284.206199302059,1.48
2013-06-18,RDNI3,0.5,9674.896451415692,11.75,807.5873498677539,11.98
2013-06-19,KEPL3,0.5,9300.625174967046,1.51,6284.206199302059,1.48
2013-06-19,RDNI3,0.5,9650.668830919658,11.75,807.5873498677539,11.95
2013-06-20,KEPL3,0.5,9300.625174967046,1.51,6284.206199302059,1.48
2013-06-20,RDNI3,0.5,9586.061842930238,11.75,807.5873498677539,11.87
2013-06-21,KEPL3,0.5,8923.572803008923,1.51,6284.206199302059,1.42
2013-06-21,RDNI3,0.5,9456.847866951399,11.75,807.5873498677539,11.71
2013-06-24,KEPL3,0.5,8986.414865001943,1.51,6284.206199302059,1.43
2013-06-24,RDNI3,0.5,8923.840216038681,11.75,807.5873498677539,11.05
2013-06-25,KEPL3,0.5,9112.098988987986,1.51,6284.206199302059,1.45
2013-06-25,RDNI3,0.5,9368.013258465946,11.75,807.5873498677539,11.6
2013-06-26,KEPL3,0.5,9677.677546925172,1.51,6284.206199302059,1.54
2013-06-26,RDNI3,0.5,9602.213589927595,11.75,807.5873498677539,11.89
2013-06-27,KEPL3,0.5,9740.519608918192,1.51,6284.206199302059,1.55
2013-06-27,RDNI3,0.5,9553.75834893553,11.75,807.5873498677539,11.83
2013-06-28,KEPL3,0.5,9803.361670911212,1.51,6284.206199302059,1.56
2013-06-28,RDNI3,0.5,9456.847866951399,11.75,807.5873498677539,11.71
2013-07-01,KEPL3,0.5,9614.83548493215,1.51,6284.206199302059,1.53
2013-07-01,RDNI3,0.5,9489.151360946109,11.75,807.5873498677539,11.75
2013-07-02,KEPL3,0.5,9237.783112974026,1.51,6284.206199302059,1.47
2013-07-02,RDNI3,0.5,9166.116420999007,11.75,807.5873498677539,11.35
2013-07-03,KEPL3,0.5,9112.098988987986,1.51,6284.206199302059,1.45
2013-07-03,RDNI3,0.5,8931.916089537359,11.75,807.5873498677539,11.06
2013-07-04,KEPL3,0.5,9237.783112974026,1.51,6284.206199302059,1.47
2013-07-04,RDNI3,0.5,9158.04054750033,11.75,807.5873498677539,11.34
2013-07-05,KEPL3,0.5,9112.098988987986,1.51,6284.206199302059,1.45
2013-07-05,RDNI3,0.5,9166.116420999007,11.75,807.5873498677539,11.35
2013-07-08,KEPL3,0.5,9112.098988987986,1.51,6284.206199302059,1.45
2013-07-08,RDNI3,0.5,9263.026902983138,11.75,807.5873498677539,11.47
2013-07-10,KEPL3,0.5,9049.256926994964,1.51,6284.206199302059,1.44
2013-07-10,RDNI3,0.5,9327.633890972558,11.75,807.5873498677539,11.55
2013-07-11,ETER3,0.5,9247.37718071428,18.71,491.0980977543431,18.83
2013-07-11,PTBL3,0.5,8987.238575210393,2.74,3353.4472295561163,2.68
2013-07-12,ETER3,0.5,9365.240724175323,18.71,491.0980977543431,19.07
2013-07-12,PTBL3,0.5,9087.841992097075,2.74,3353.4472295561163,2.71
2013-07-15,ETER3,0.5,9763.03018335634,18.71,491.0980977543431,19.88
2013-07-15,PTBL3,0.5,9188.44540898376,2.74,3353.4472295561163,2.74
2013-07-16,ETER3,0.5,9689.36546869319,18.71,491.0980977543431,19.73
2013-07-16,PTBL3,0.5,9423.186715052687,2.74,3353.4472295561163,2.81
2013-07-17,ETER3,0.5,9591.145849142322,18.71,491.0980977543431,19.53
2013-07-17,PTBL3,0.5,9724.996965712737,2.74,3353.4472295561163,2.9
2013-07-18,ETER3,0.5,9841.605878997036,18.71,491.0980977543431,20.04
