data,ticker,peso
2020-08-24,JHSF3,0.5
2020-08-24,KEPL3,0.5
2020-09-23,ETER3,0.5
2020-09-23,RANI3,0.5
2020-10-23,ETER3,0.5
2020-10-23,KEPL3,0.5
2020-11-24,ETER3,0.5
2020-11-24,TASA4,0.5
2020-12-23,ETER3,0.5
2020-12-23,UNIP6,0.5
2021-01-28,CGRA4,0.5
2021-01-28,CRPG5,0.5
2021-03-02,CRPG5,0.5
2021-03-02,RCSL3,0.5
2021-03-31,ETER3,0.5
2021-03-31,FHER3,0.5
2021-05-03,ETER3,0.5
2021-05-03,FHER3,0.5
2021-06-01,AZEV4,0.5
2021-06-01,HAGA4,0.5
2021-07-01,AZEV4,0.5
2021-07-01,HAGA4,0.5
2021-08-02,AZEV4,0.5
2021-08-02,FHER3,0.5
2021-08-31,AZEV4,0.5
2021-08-31,FHER3,0.5
2021-09-30,FHER3,0.5
2021-09-30,TECN3,0.5
2021-11-01,CGRA4,0.5
2021-11-01,TECN3,0.5
2021-12-02,FESA4,0.5
2021-12-02,MOAR3,0.5
2022-01-04,FESA4,0.5
2022-01-04,MOAR3,0.5
2022-02-02,EVEN3,0.5
2022-02-02,MOAR3,0.5
2022-03-07,AGRO3,0.5
2022-03-07,KEPL3,0.5
2022-04-05,KEPL3,0.5
2022-04-05,UNIP6,0.5
2022-05-06,AGRO3,0.5
2022-05-06,KEPL3,0.5
2022-06-06,AGRO3,0.5
2022-06-06,KEPL3,0.5
2022-07-06,CURY3,0.5
2022-07-06,KEPL3,0.5
2022-08-04,CURY3,0.5
2022-08-04,KEPL3,0.5
2022-09-02,CURY3,0.5
2022-09-02,LAVV3,0.5
2022-10-04,INEP3,0.5
2022-10-04,KEPL3,0.5
2022-11-04,INEP3,0.5
2022-11-04,KEPL3,0.5
2022-12-06,INEP3,0.5
2022-12-06,KEPL3,0.5
2023-01-05,PRNR3,0.5
2023-01-05,TGMA3,0.5
2023-02-03,LVTC3,0.5
2023-02-03,PRNR3,0.5
2023-03-08,PRNR3,0.5
2023-03-08,TECN3,0.5
2023-04-06,IGBR3,0.5
2023-04-06,TECN3,0.5
2023-05-10,PRNR3,0.5
2023-05-10,VLID3,0.5
2023-06-09,MDNE3,0.5
2023-06-09,PRNR3,0.5
2023-07-10,MDNE3,0.5
2023-07-10,SLED4,0.5
2023-08-08,CAMB3,0.5
2023-08-08,MDNE3,0.5
2023-09-06,CAMB3,0.5
2023-09-06,MDNE3,0.5
2023-10-06,CAMB3,0.5
2023-10-06,MDNE3,0.5
2023-11-08,MDNE3,0.5
2023-11-08,VLID3,0.5
2023-12-08,MDNE3,0.5
2023-12-08,VLID3,0.5
2024-01-11,CAMB3,0.5
2024-01-11,DEXP3,0.5
2024-02-09,BRBI11,0.5
2024-02-09,DEXP3,0.5
2024-03-13,EUCA4,0.5
2024-03-13,TECN3,0.5
2024-04-12,ALLD3,0.5
2024-04-12,TECN3,0.5
2024-05-14,DMVF3,0.5
2024-05-14,TECN3,0.5
2024-06-13,DMVF3,0.5
2024-06-13,TECN3,0.5
2024-07-12,ALLD3,0.5
2024-07-12,TECN3,0.5
2024-08-12,DMVF3,0.5
2024-08-12,TECN3,0.5
2024-09-10,SYNE3,0.5
2024-09-10,TECN3,0.5
2024-10-09,MDNE3,0.5
2024-10-09,SYNE3,0.5
2024-11-07,SYNE3,0.5
2024-11-07,VLID3,0.5
2024-12-10,MDNE3,0.5
2024-12-10,SYNE3,0.5
2025-01-14,BRBI11,0.5
2025-01-14,SYNE3,0.5
2025-02-12,PFRM3,0.5
2025-02-12,TGMA3,0.5
2025-03-17,CSUD3,0.5
2025-03-17,VLID3,0.5
2025-04-15,PFRM3,0.5
2025-04-15,TGMA3,0.5
2025-05-19,CSED3,0.5
2025-05-19,LAVV3,0.5
2025-06-17,MDNE3,0.5
2025-06-17,WIZC3,0.5
2025-07-17,MDNE3,0.5
2025-07-17,WIZC3,0.5
2025-08-15,SYNE3,0.5
2025-08-15,WIZC3,0.5
