data,preco_abertura,preco_fechamento,preco_maximo,preco_medio,preco_minimo,quantidade_negociada,quantidade_negocios,ticker,volume_negociado,fator_ajuste,preco_fechamento_ajustado,fator_ajuste_desdobramentos,preco_fechamento_ajustado_desdobramentos,preco_abertura_ajustado,preco_maximo_ajustado,preco_medio_ajustado,preco_minimo_ajustado,volume,ValorDeMercado,EBIT_EV,momento_6_meses,ebit_dl,volume_medio_prop_20_200,RANK_FINAL_carteira1,ValorDeMercado_RANK_carteira1,EBIT_EV_RANK_carteira1,momento_6_meses_RANK_carteira1,ebit_dl_RANK_carteira1,volume_medio_prop_20_200_RANK_carteira1,posicao_carteira1
2025-08-25,13.78,13.76,13.87,13.77,13.73,2359600,8456,CXSE3,32498278.0,1.0,13.76,1.0,13.76,13.78,13.87,13.77,13.73,57531209.0,41340000000.0,0.09496640172919275,-0.060109289617486406,999.0,0.8299054023132045,473.5,140.0,102.0,115.0,11.5,105.0,122.0
2025-08-25,26.12,26.52,27.04,26.68,26.01,6837600,21678,CYRE3,182484707.0,1.0,26.52,1.0,26.52,26.12,27.04,26.68,26.01,137111829.0,9715200000.0,0.15769309718160357,0.24624060150375926,0.5578325917836776,1.097968548940701,281.0,104.0,33.0,47.0,62.0,35.0,30.0
2025-08-25,1.25,1.24,1.26,1.23,1.22,879000,2748,DASA3,1084343.0,1.0,1.24,1.0,1.24,1.25,1.26,1.23,1.22,1084343.0,1807209567.0,0.10708272590386833,-0.28735632183908044,0.19288032379337844,0.8749628323918927,486.0,47.0,91.0,141.0,116.0,91.0,127.0
2025-08-25,8.07,8.0,8.35,8.07,7.97,253300,1216,DESK3,2046652.0,1.0,8.0,1.0,8.0,8.07,8.35,8.07,7.97,831976.0,898054578.0,0.17648329747419497,-0.13137893593919658,0.3178470194316254,0.7583247248261832,373.0,21.0,20.0,125.0,85.0,122.0,66.5
2025-08-25,8.71,8.65,8.76,8.66,8.57,64100,327,DEXP3,555456.0,1.0,8.65,1.0,8.65,8.71,8.76,8.66,8.57,649472.0,922408631.0,0.26832630120998496,0.08531994981179425,25.29818697457713,0.9724301046650797,204.0,23.0,3.0,91.0,23.0,64.0,11.0
2025-08-25,14.55,14.72,14.87,14.72,14.43,3595500,9119,DIRR3,52928974.0,1.0,14.72,1.0,14.72,14.55,14.87,14.72,14.43,57602223.0,7391100000.0,0.10246146378022254,0.4868686868686869,999.0,0.9457158465822327,286.5,95.0,95.0,14.0,11.5,71.0,32.0
2025-08-25,5.71,5.71,5.75,5.7,5.64,823800,1788,DXCO3,4702602.0,1.0,5.71,1.0,5.71,5.71,5.75,5.7,5.64,10434162.0,4644403560.0,0.0887755112750106,-0.06851549755301789,0.1688256216703167,0.6428396097430527,566.0,77.0,109.0,116.0,126.0,138.0,143.0
2025-08-25,7.27,7.25,7.38,7.28,7.2,2823800,5595,ECOR3,20564355.0,1.0,7.25,1.0,7.25,7.27,7.38,7.28,7.2,22243998.0,4916118040.0,0.13446435931387857,0.48261758691206547,0.18704848633088111,0.8788005051465746,358.0,78.0,58.0,15.0,120.0,87.0,59.0
2025-08-25,39.26,39.15,39.68,39.17,38.97,602500,3702,EGIE3,23605206.0,1.0,39.15,1.0,39.15,39.26,39.68,39.17,38.97,32814755.0,32571835381.0,0.14699472303532504,0.13150289017341033,0.295353513862566,0.6750781109052383,480.0,133.0,44.0,81.0,89.0,133.0,125.0
2025-08-25,42.78,43.32,43.55,43.3,42.68,10955800,24034,ELET3,474449404.0,1.0,43.32,1.0,43.32,42.78,43.55,43.3,42.68,250054637.0,106031466640.0,0.15188604142813564,0.21446593776282596,0.4572402971616869,1.0432315571541337,361.0,148.0,39.0,59.0,68.0,47.0,60.0
2025-08-25,78.14,75.73,78.14,76.47,75.73,4065900,16555,EMBR3,310955333.0,1.0,75.73,1.0,75.73,78.14,78.14,76.47,75.73,395640047.0,58681851250.0,0.06946929030030033,0.24514962183492273,0.8577156982324629,1.3879158081802647,370.0,144.0,120.0,49.0,47.0,10.0,63.5
2025-08-25,14.51,14.97,15.11,14.93,14.49,18017300,25110,ENEV3,269111062.0,1.0,14.97,1.0,14.97,14.51,15.11,14.93,14.49,89312523.0,27442806400.0,0.053997817451227746,0.2506265664160401,0.1693322096772227,1.0068867173412428,479.0,126.0,127.0,45.0,124.0,57.0,124.0
2025-08-25,47.79,47.31,48.01,47.52,47.22,3049800,9697,ENGI11,144945881.0,1.0,47.31,1.0,47.31,47.79,48.01,47.52,47.22,88537529.0,23727587583.0,0.11926198571528454,0.22564766839378247,0.2165170138951897,0.8030270037211891,470.0,123.0,75.0,55.0,105.0,112.0,119.0
2025-08-25,1.0,0.99,1.02,0.99,0.97,1257800,691,ENJU3,1250157.0,1.0,0.99,1.0,0.99,1.0,1.02,0.99,0.97,720371.0,211167510.0,-2.0356843574934165,-0.2325581395348838,-999.0,0.8017251664878744,560.0,6.0,155.0,136.0,149.0,114.0,140.0
2025-08-25,35.96,35.65,36.34,35.76,35.59,4927000,15956,EQTL3,176194822.0,1.0,35.65,1.0,35.65,35.96,36.34,35.76,35.59,220293019.0,45398061776.0,0.09793307565180781,0.16503267973856195,0.20594597683786517,0.8696665916584287,516.0,141.0,99.0,73.0,110.0,93.0,134.0
2025-08-25,17.0,17.49,17.51,17.13,16.73,36600,217,EUCA4,627196.0,1.0,17.49,1.0,17.49,17.0,17.51,17.13,16.73,578739.0,1640605160.0,0.1696876078257147,0.2917282127031018,0.8241483787932373,0.8222430244450849,255.0,42.0,24.0,34.0,48.0,107.0,24.0
2025-08-25,7.35,7.35,7.55,7.43,7.35,466200,1823,EVEN3,3465162.0,1.0,7.35,1.0,7.35,7.35,7.55,7.43,7.35,3766721.0,1396000000.0,0.023938684335814746,0.22296173044925127,0.18903550591106477,0.8515733348777433,448.0,35.0,139.0,57.0,119.0,98.0,103.5
2025-08-25,13.88,14.01,14.04,13.92,13.8,911500,3302,EZTC3,12691805.0,1.0,14.01,1.0,14.01,13.88,14.04,13.92,13.8,17849016.0,3246329923.0,0.0925706221909536,0.09538702111024233,1.2415725682361574,0.7487261568756373,424.0,68.0,104.0,89.0,39.0,124.0,90.0
2025-08-25,6.22,6.22,6.34,6.21,6.17,523800,1654,FESA4,3256054.0,1.0,6.22,1.0,6.22,6.22,6.34,6.21,6.17,3415014.0,2864249250.0,0.043935336218537,-0.20965692503176625,999.0,1.0409487572311928,398.5,67.0,137.0,134.0,11.5,49.0,81.0
2025-08-25,4.15,4.16,4.24,4.17,4.14,794200,1539,FIQE3,3316161.0,1.0,4.16,1.0,4.16,4.15,4.24,4.17,4.14,1491287.0,1466300916.0,0.16512600537139344,0.2455089820359282,1.2006992145518187,1.2746133129697947,172.0,39.0,29.0,48.0,40.0,16.0,6.0
2025-08-25,14.12,14.19,14.3,14.21,14.12,1227600,4730,FLRY3,17451696.0,1.0,14.19,1.0,14.19,14.12,14.3,14.21,14.12,41322821.0,7868606954.0,0.10743611102144597,0.2658340767172167,0.360157031345286,1.0605332291000944,347.0,99.0,90.0,38.0,78.0,42.0,56.0
2025-08-25,22.91,23.0,23.21,22.95,22.8,408800,1998,FRAS3,9385561.0,1.0,23.0,1.0,23.0,22.91,23.21,22.95,22.8,11439511.0,5874352000.0,0.05499252397306657,-0.00647948164146861,0.3569316352380168,1.3990056070282155,404.0,86.0,126.0,103.0,80.0,9.0,84.0
2025-08-25,13.87,13.76,13.94,13.76,13.66,136500,476,GFSA3,1879060.0,1.0,13.76,1.0,13.76,13.87,13.94,13.76,13.66,3535678.0,85792640.0,-0.03458241751173277,-0.3801801801801802,-999.0,0.5427762330577659,594.0,3.0,148.0,147.0,149.0,147.0,148.0
2025-08-25,16.45,16.68,16.92,16.71,16.44,8012900,11951,GGBR4,133908705.0,1.0,16.68,1.0,16.68,16.45,16.92,16.71,16.44,139495046.0,32047550777.0,0.1454197188622453,-0.01824602707474976,0.6566182296315399,0.6759350910161368,473.0,131.0,46.0,107.0,57.0,132.0,121.0
2025-08-25,16.9,16.77,17.02,16.82,16.72,1772500,6078,GGPS3,29824452.0,1.0,16.77,1.0,16.77,16.9,17.02,16.82,16.72,29273756.0,10014844208.0,0.10485211963831909,0.1454918032786885,0.6125898785945894,0.8939523688854937,417.0,106.0,93.0,79.0,59.0,80.0,87.5
2025-08-25,7.0,6.91,7.04,6.96,6.91,2170200,3095,GMAT3,15109253.0,1.0,6.91,1.0,6.91,7.0,7.04,6.96,6.91,21534763.0,17178309532.0,0.12944429316330766,0.005822416302765587,2.173712308352816,1.1166639599232593,349.0,121.0,62.0,100.0,35.0,31.0,57.0
2025-08-25,8.53,8.59,8.64,8.56,8.44,443700,1789,GUAR3,3800822.0,1.0,8.59,1.0,8.59,8.53,8.64,8.56,8.44,5986715.0,9184032000.0,0.08642372712147091,0.28400597907324365,1.1137923357503619,0.8750364099498893,381.0,102.0,112.0,36.0,41.0,90.0,74.0
2025-08-25,38.49,39.1,39.31,39.02,38.47,4662500,13655,HAPV3,181947062.0,1.0,39.1,1.0,39.1,38.49,39.31,39.02,38.47,144484793.0,268404892163.0,0.0033558978575468036,0.07270233196159115,0.24903928007307718,0.7881265701388024,602.0,154.0,142.0,92.0,97.0,117.0,150.0
2025-08-25,3.0,3.18,3.19,3.13,3.0,2662100,2650,HBOR3,8337779.0,1.0,3.18,1.0,3.18,3.0,3.19,3.13,3.0,3735960.0,372105780.0,0.10827181185700731,1.0254777070063694,0.1346049142493361,1.7109466382694598,237.0,11.0,89.0,2.0,131.0,4.0,15.0
2025-08-25,4.2,4.27,4.29,4.23,4.17,199800,455,HBRE3,846038.0,1.0,4.27,1.0,4.27,4.2,4.29,4.23,4.17,1261471.0,383863009.0,0.15330734696575896,0.4046052631578947,0.19396565054157677,0.8168760376523743,296.0,12.0,36.0,25.0,114.0,109.0,38.0
2025-08-25,3.67,3.67,3.73,3.65,3.61,3005600,5430,HBSA3,10991037.0,1.0,3.67,1.0,3.67,3.67,3.73,3.65,3.61,9049461.0,4938186660.0,-0.018543692892471382,0.5683760683760684,-999.0,0.8770144873633865,470.0,79.0,145.0,8.0,149.0,89.0,119.0
2025-08-25,23.88,23.57,24.17,23.57,23.35,1525700,5744,HYPE3,35975018.0,1.0,23.57,1.0,23.57,23.88,24.17,23.57,23.35,61339946.0,14448328973.0,0.04610762737808416,0.20562659846547304,0.12747930155162612,0.8015724012276503,564.0,119.0,136.0,62.0,132.0,115.0,141.0
2025-08-25,0.45,0.4,0.45,0.41,0.39,2294100,754,IFCM3,944781.0,1.0,0.4,1.0,0.4,0.45,0.45,0.41,0.39,530436.0,31917488.0,-1.9821913285519872,-0.6666666666666666,-999.0,0.7335599279324139,585.0,1.0,154.0,153.0,149.0,128.0,145.5
2025-08-25,22.63,22.23,22.69,22.34,22.16,2577700,8237,IGTI11,57597260.0,1.0,22.23,1.0,22.23,22.63,22.69,22.34,22.16,47627133.0,6404527421.0,0.11574882013152987,0.18244680851063833,0.42698872331501536,0.9208513751297275,379.0,89.0,78.0,67.0,71.0,74.0,72.0
2025-08-25,12.07,12.23,12.3,12.15,12.03,1672000,4717,INTB3,20321291.0,1.0,12.23,1.0,12.23,12.07,12.3,12.15,12.03,24921990.0,4268772763.0,0.13007061062272918,-0.1623287671232876,2.9957078930087397,1.0465696278329446,339.0,75.0,61.0,129.0,31.0,43.0,52.0
